Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 79.77   6531.13  6531.13    10000     0.00     0.00  EPH_FDM::solve()
  9.14   7279.41   748.28    10000     0.00     0.00  LAMMPS_NS::FixEPH::force_eta()
  5.49   7728.90   449.49    10000     0.00     0.00  LAMMPS_NS::FixEPH::calculate_environment()
  5.16   8151.00   422.10    10002     0.00     0.00  LAMMPS_NS::PairEAM::compute(int, int)
  0.17   8164.77    13.77    10000     0.00     0.00  LAMMPS_NS::FixEPH::end_of_step()
  0.11   8174.04     9.27 491520000     0.00     0.00  LAMMPS_NS::RanMars::gaussian()
  0.03   8176.42     2.38   480000     0.00     0.00  LAMMPS_NS::FixEPH::pack_forward_comm(int, int*, double*, int, int*)
  0.02   8178.32     1.90   480000     0.00     0.00  LAMMPS_NS::FixEPH::unpack_forward_comm(int, int, double*)
  0.02   8180.05     1.73    10000     0.00     0.00  LAMMPS_NS::FixEPH::post_force(int)
  0.02   8181.42     1.37    60000     0.00     0.00  LAMMPS_NS::AtomVecAtomic::unpack_comm_vel(int, int, double*)
  0.01   8182.64     1.22    10000     0.00     0.00  LAMMPS_NS::FixEPH::initial_integrate(int)
  0.01   8183.82     1.18    60000     0.00     0.00  LAMMPS_NS::AtomVecAtomic::pack_comm_vel(int, int*, double*, int, int*)
  0.01   8184.56     0.74     9992     0.00     0.00  LAMMPS_NS::Neighbor::check_distance()
  0.01   8185.28     0.72    60012     0.00     0.00  LAMMPS_NS::AtomVecAtomic::unpack_reverse(int, int*, double*)
  0.01   8185.80     0.52    10000     0.00     0.00  LAMMPS_NS::FixEPH::final_integrate()
  0.00   8186.00     0.20        2     0.00     0.00  LAMMPS_NS::NPairFullBin::build(LAMMPS_NS::NeighList*)
  0.00   8186.14     0.14    60012     0.00     0.00  LAMMPS_NS::PairEAM::pack_forward_comm(int, int*, double*, int, int*)
  0.00   8186.27     0.13    60012     0.00     0.00  LAMMPS_NS::PairEAM::unpack_reverse_comm(int, int*, double*)
  0.00   8186.40     0.13                             LAMMPS_NS::RanMars::uniform()
  0.00   8186.50     0.10    60012     0.00     0.00  LAMMPS_NS::PairEAM::pack_reverse_comm(int, int, double*)
  0.00   8186.60     0.10    60012     0.00     0.00  LAMMPS_NS::PairEAM::unpack_forward_comm(int, int, double*)
  0.00   8186.68     0.08        7     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00   8186.73     0.05        2     0.00     0.00  EPH_FDM::saveState(char const*)
  0.00   8186.77     0.04        2     0.00     4.09  LAMMPS_NS::Verlet::run(int)
  0.00   8186.80     0.03    80000     0.00     0.00  LAMMPS_NS::CommBrick::forward_comm_fix(LAMMPS_NS::Fix*, int)
  0.00   8186.82     0.02  6956675     0.00     0.00  LAMMPS_NS::Pair::ev_tally(int, int, int, int, double, double, double, double, double, double)
  0.00   8186.84     0.02    20004     0.00     0.00  LAMMPS_NS::Compute::matchstep(long)
  0.00   8186.86     0.02    10002     0.00     0.00  LAMMPS_NS::CommBrick::forward_comm_pair(LAMMPS_NS::Pair*)
  0.00   8186.88     0.02    10002     0.00     0.00  LAMMPS_NS::CommBrick::reverse_comm_pair(LAMMPS_NS::Pair*)
  0.00   8186.90     0.02    10000     0.00     0.00  LAMMPS_NS::Modify::initial_integrate(int)
  0.00   8186.92     0.02        2     0.00     0.00  LAMMPS_NS::NPairHalffullNewton::build(LAMMPS_NS::NeighList*)
  0.00   8186.94     0.02                             MPI_Wtime
  0.00   8186.95     0.01   204008     0.00     0.00  EPH_Spline::operator<<(double)
  0.00   8186.96     0.01       12     0.00     0.00  LAMMPS_NS::Pair::virial_fdotr_compute()
  0.00   8186.97     0.01        8     0.00     0.00  EPH_Spline::FindCoefficients()
  0.00   8186.98     0.01        3     0.00     0.00  LAMMPS_NS::FixEPH::grow_arrays(int)
  0.00   8186.99     0.01        2     0.00     0.00  LAMMPS_NS::Timer::init()
  0.00   8187.00     0.01        1     0.00     0.00  LAMMPS_NS::FixEPH::setmask()
  0.00   8187.01     0.01        1     0.00     0.00  LAMMPS_NS::FixEPH::FixEPH(LAMMPS_NS::LAMMPS*, int, char**)
