Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   8187.02     0.01                             LAMMPS_NS::AtomVecAtomic::grow_reset()
  0.00   8187.03     0.01                             LAMMPS_NS::FixEPH::reset_dt()
  0.00   8187.03     0.00  1836072     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00   8187.03     0.00    80020     0.00     0.00  LAMMPS_NS::Timer::_stamp(LAMMPS_NS::Timer::ttype)
  0.00   8187.03     0.00    76468     0.00     0.00  LAMMPS_NS::RanPark::uniform()
  0.00   8187.03     0.00    68922     0.00     0.00  LAMMPS_NS::NBin::coord2bin(double*)
  0.00   8187.03     0.00    65536     0.00     0.00  LAMMPS_NS::Domain::unmap(double const*, int, double*)
  0.00   8187.03     0.00    32768     0.00     0.00  LAMMPS_NS::NPair::coord2bin(double*)
  0.00   8187.03     0.00    27444     0.00     0.00  LAMMPS_NS::Lattice::lattice2box(double&, double&, double&)
  0.00   8187.03     0.00    27316     0.00     0.00  LAMMPS_NS::RanPark::reset(int, double*)
  0.00   8187.03     0.00    16384     0.00     0.00  LAMMPS_NS::AtomVecAtomic::create_atom(int, double*)
  0.00   8187.03     0.00    16384     0.00     0.00  LAMMPS_NS::Variable::set_arrays(int)
  0.00   8187.03     0.00    15324     0.00     0.00  LAMMPS_NS::AtomVecAtomic::copy(int, int, int)
  0.00   8187.03     0.00    10004     0.00     0.00  LAMMPS_NS::Verlet::cleanup()
  0.00   8187.03     0.00    10002     0.00     0.00  LAMMPS_NS::CommBrick::reverse_comm()
  0.00   8187.03     0.00    10002     0.00     0.00  LAMMPS_NS::Integrate::ev_set(long)
  0.00   8187.03     0.00    10000     0.00     0.00  LAMMPS_NS::Modify::post_force(int)
  0.00   8187.03     0.00    10000     0.00     0.00  LAMMPS_NS::Modify::end_of_step()
  0.00   8187.03     0.00    10000     0.00     0.00  LAMMPS_NS::Modify::final_integrate()
  0.00   8187.03     0.00    10000     0.00     0.00  LAMMPS_NS::Neighbor::decide()
  0.00   8187.03     0.00    10000     0.00     0.00  LAMMPS_NS::CommBrick::forward_comm(int)
  0.00   8187.03     0.00      272     0.00     0.00  LAMMPS_NS::Memory::sfree(void*)
  0.00   8187.03     0.00      250     0.00     0.00  LAMMPS_NS::NStencil::bin_distance(int, int, int)
  0.00   8187.03     0.00      225     0.00     0.00  LAMMPS_NS::Input::nextword(char*, char**)
  0.00   8187.03     0.00      164     0.00     0.00  LAMMPS_NS::Memory::smalloc(long, char const*)
  0.00   8187.03     0.00      148     0.00     0.00  LAMMPS_NS::Memory::srealloc(void*, long, char const*)
  0.00   8187.03     0.00      104     0.00     0.00  LAMMPS_NS::Modify::thermo_energy_atom(int, double*)
  0.00   8187.03     0.00       99     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00       98     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00       80     0.00     0.00  LAMMPS_NS::PairSRP::read_restart(_IO_FILE*)
  0.00   8187.03     0.00       80     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00       79     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00       68     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00       65     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00       60     0.00     0.00  LAMMPS_NS::Input::substitute(char*&, char*&, int&, int&, int)
  0.00   8187.03     0.00       60     0.00     0.00  LAMMPS_NS::Input::parse()
  0.00   8187.03     0.00       38     0.00     0.00  LAMMPS_NS::Modify::list_init(int, int&, int*&)
  0.00   8187.03     0.00       36     0.00     0.23  LAMMPS_NS::Input::execute_command()
  0.00   8187.03     0.00       28     0.00     0.00  LAMMPS_NS::Compute::addstep(long)
  0.00   8187.03     0.00       27     0.00     0.00  LAMMPS_NS::PairEAM::settings(int, char**)
  0.00   8187.03     0.00       23     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, void (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, void (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, void (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, void (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00       18     0.00     0.00  mpi_timings(char const*, LAMMPS_NS::Timer*, LAMMPS_NS::Timer::ttype, int, int, int, int, double, _IO_FILE*, _IO_FILE*)
  0.00   8187.03     0.00       16     0.00     0.00  EPH_Spline::operator<<(bool)
  0.00   8187.03     0.00       14     0.00     0.00  LAMMPS_NS::ComputePressure::init()
  0.00   8187.03     0.00       14     0.00     0.00  LAMMPS_NS::Atom::memcheck(char const*)
  0.00   8187.03     0.00       14     0.00     0.00  LAMMPS_NS::VarReader::~VarReader()
  0.00   8187.03     0.00       13     0.00     0.00  LAMMPS_NS::ComputeTemp::compute_scalar()
  0.00   8187.03     0.00       13     0.00     0.00  LAMMPS_NS::Thermo::addfield(char const*, void (LAMMPS_NS::Thermo::*)(), int)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::AtomVecAtomic::pack_border_vel(int, int*, double*, int, int*)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::AtomVecAtomic::unpack_border_vel(int, int, double*)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::ComputePressure::compute_scalar()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Pair::ev_setup(int, int, int)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Modify::addstep_compute(long)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Modify::clearstep_compute()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_ke()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_pe()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::lost_check()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::add_compute(char const*, int)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_step()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_temp()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_time()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_press()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute_etotal()
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::Thermo::compute(int)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::PairEAM::grab(_IO_FILE*, int, double*)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::PairEAM::init_one(int, int)
  0.00   8187.03     0.00       12     0.00     0.00  LAMMPS_NS::ComputePE::compute_scalar()
  0.00   8187.03     0.00       12     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, void (*)(LAMMPS_NS::LAMMPS*, int, char**), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, void (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00       11     0.00     0.00  LAMMPS_NS::Force::numeric(char const*, int, char*)
  0.00   8187.03     0.00       10     0.00     0.00  LAMMPS_NS::Output::write(long)
  0.00   8187.03     0.00       10     0.00     0.00  LAMMPS_NS::Output::~Output()
  0.00   8187.03     0.00       10     0.00     0.00  LAMMPS_NS::Variable::set(int, char**)
  0.00   8187.03     0.00       10     0.00     0.00  LAMMPS_NS::Variable::retrieve(char*)
  0.00   8187.03     0.00        9     0.00     0.00  LAMMPS_NS::Atom::~Atom()
  0.00   8187.03     0.00        9     0.00     0.00  LAMMPS_NS::Group::find(char const*)
  0.00   8187.03     0.00        9     0.00     0.00  LAMMPS_NS::Domain::~Domain()
  0.00   8187.03     0.00        9     0.00     0.00  LAMMPS_NS::Modify::find_compute(char const*)
  0.00   8187.03     0.00        9     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dump* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dump* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dump* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dump* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00        8     0.00     0.00  LAMMPS_NS::Atom::style_match(char const*)
  0.00   8187.03     0.00        8     0.00     0.00  LAMMPS_NS::Force::inumeric(char const*, int, char*)
  0.00   8187.03     0.00        8     0.00     0.00  LAMMPS_NS::Lattice::box2lattice(double&, double&, double&)
  0.00   8187.03     0.00        8     0.00     0.00  LAMMPS_NS::Lattice::bbox(int, double, double, double, double&, double&, double&, double&, double&, double&)
  0.00   8187.03     0.00        8     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Angle* (*)(LAMMPS_NS::LAMMPS*), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Angle* (*)(LAMMPS_NS::LAMMPS*)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00        8     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Dihedral* (*)(LAMMPS_NS::LAMMPS*), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dihedral* (*)(LAMMPS_NS::LAMMPS*)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00        8     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Angle* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Angle* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Angle* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Angle* (*)(LAMMPS_NS::LAMMPS*)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00        8     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Region* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00        8     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::AtomVec* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::AtomVec* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::AtomVec* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::AtomVec* (*)(LAMMPS_NS::LAMMPS*)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00        8     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dihedral* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dihedral* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dihedral* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Dihedral* (*)(LAMMPS_NS::LAMMPS*)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00   8187.03     0.00        7     0.00     0.00  LAMMPS_NS::Group::assign(int, char**)
  0.00   8187.03     0.00        7     0.00     0.00  LAMMPS_NS::Variable::evaluate(char*, LAMMPS_NS::Variable::Tree**)
  0.00   8187.03     0.00        7     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >*)
  0.00   8187.03     0.00        6     0.00     0.00  LAMMPS_NS::NeighRequest::NeighRequest(LAMMPS_NS::LAMMPS*)
  0.00   8187.03     0.00        6     0.00     0.00  LAMMPS_NS::NeighRequest::~NeighRequest()
  0.00   8187.03     0.00        6     0.00     0.00  LAMMPS_NS::AtomVecAtomic::grow(int)
  0.00   8187.03     0.00        6     0.00     0.00  LAMMPS_NS::Force::pair_match(char const*, int, int)
  0.00   8187.03     0.00        6     0.00     0.00  LAMMPS_NS::Compute::memory_usage()
  0.00   8187.03     0.00        6     0.00     0.00  LAMMPS_NS::NeighList::grow(int, int)
  0.00   8187.03     0.00        6     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Improper* (*)(LAMMPS_NS::LAMMPS*), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Improper* (*)(LAMMPS_NS::LAMMPS*)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00   8187.03     0.00        6     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> >*)
